timestamp,request_id,latency_ms,status,status_code,sla_violation,fraud_score,response_latency_ms
2025-12-13T02:56:17.902971,2,44.95,success,200,0,0.245,206.05
2025-12-13T02:56:17.798104,1,73.67,success,200,0,0.251,313.96
2025-12-13T02:56:18.007604,3,62.57,success,200,0,0.112,291.53
2025-12-13T02:56:18.111079,4,203.48,success,200,0,0.141,997.86
2025-12-13T02:56:18.422052,7,208.71,success,200,0,0.356,1021.03
2025-12-13T02:56:18.215157,5,250.16,success,200,0,0.906,1229.37
2025-12-13T02:56:18.317756,6,238.31,success,200,0,0.2,1159.37
2025-12-13T02:56:18.632079,9,381.74,success,200,0,0.644,1888.81
2025-12-13T02:56:19.153631,14,277.84,success,200,0,0.346,1368.6
2025-12-13T02:56:18.856186,11,340.6,success,200,0,0.646,1645.49
2025-12-13T02:56:18.737117,10,361.92,success,200,0,0.497,1787.39
2025-12-13T02:56:18.943616,12,322.07,success,200,0,0.189,1589.24
2025-12-13T02:56:19.048613,13,303.93,success,200,0,0.276,1501.74
2025-12-13T02:56:18.527028,8,425.62,success,200,0,0.714,2105.21
2025-12-13T02:56:19.509713,17,357.13,success,200,0,0.905,1753.15
2025-12-13T02:56:19.466507,15,377.29,success,200,0,0.872,1865.79
2025-12-13T02:56:20.547460,21,380.77,success,200,0,0.757,1882.74
2025-12-13T02:56:20.545460,20,386.11,success,200,0,0.091,1907.16
2025-12-13T02:56:19.466959,16,616.66,success,200,1,0.838,2007.13
2025-12-13T02:56:20.543901,18,403.93,success,200,0,0.017,1993.01
2025-12-13T02:56:20.544858,19,406.83,success,200,0,0.835,2012.13
2025-12-13T02:56:20.569164,23,403.85,success,200,0,0.477,1999.97
2025-12-13T02:56:20.554622,22,564.51,success,200,1,0.632,2080.58
2025-12-13T02:56:21.354489,26,421.78,success,200,0,0.938,2087.41
2025-12-13T02:56:21.296681,25,435.29,success,200,0,0.059,2155.19
2025-12-13T02:56:22.451635,27,403.44,success,200,0,0.517,1996.99
2025-12-13T02:56:20.656155,24,767.82,success,200,1,0.017,1929.67
2025-12-13T02:56:22.550559,29,389.61,success,200,0,0.398,1929.05
2025-12-13T02:56:22.588560,32,383.35,success,200,0,0.101,1898.96
2025-12-13T02:56:22.476346,28,420.93,success,200,0,0.079,2085.7
2025-12-13T02:56:22.563770,30,571.09,success,200,1,0.409,1943.35
2025-12-13T02:56:23.378439,33,412.27,success,200,0,0.624,2039.28
2025-12-13T02:56:23.464284,34,402.16,success,200,0,0.013,1990.68
2025-12-13T02:56:23.473763,35,402.54,success,200,0,0.431,1994.07
2025-12-13T02:56:24.505900,39,373.87,success,200,0,0.297,1848.65
2025-12-13T02:56:22.579210,31,763.24,success,200,1,0.575,1814.66
2025-12-13T02:56:24.470273,36,385.63,success,200,0,0.047,1904.19
2025-12-13T02:56:24.582281,40,368.63,success,200,0,0.562,1822.13
2025-12-13T02:56:25.487202,44,369.92,success,200,0,0.617,1830.93
2025-12-13T02:56:25.420420,41,398.95,success,200,0,0.757,1972.3
2025-12-13T02:56:24.496397,37,591.49,success,200,1,0.842,2011.35
2025-12-13T02:56:24.499511,38,592.72,success,200,1,0.218,2043.79
2025-12-13T02:56:26.398858,47,400.0,success,200,0,0.744,1980.09
2025-12-13T02:56:25.440668,42,603.03,success,200,1,0.342,2057.89
2025-12-13T02:56:26.375993,45,425.33,success,200,0,0.939,2101.46
2025-12-13T02:56:26.395932,46,421.88,success,200,0,0.381,2090.51
2025-12-13T02:56:25.475967,43,820.73,success,200,1,0.836,2114.19
2025-12-13T02:56:27.463851,52,424.65,success,200,0,0.17,2100.97
2025-12-13T02:56:27.454490,51,437.25,success,200,0,0.234,2165.67
2025-12-13T02:56:27.415984,50,458.01,success,200,0,0.294,2270.4
2025-12-13T02:56:26.426072,48,656.91,success,200,1,0.171,2256.58
2025-12-13T02:56:28.503645,55,432.65,success,200,0,0.141,2093.97
2025-12-13T02:56:27.337922,49,666.01,success,200,1,0.432,2224.41
2025-12-13T02:56:28.401948,53,453.49,success,200,0,0.871,2243.46
2025-12-13T02:56:28.506057,56,434.4,success,200,0,0.745,2152.82
2025-12-13T02:56:28.456825,54,452.46,success,200,0,0.316,2241.42
2025-12-13T02:56:29.641113,59,376.44,success,200,0,0.359,1862.75
2025-12-13T02:56:29.580105,57,403.5,success,200,0,0.816,1996.38
2025-12-13T02:56:29.587385,58,409.97,success,200,0,0.832,2030.82
2025-12-13T02:56:30.720306,66,363.69,success,200,0,0.762,1795.88
2025-12-13T02:56:30.678694,65,371.89,success,200,0,0.037,1837.77
2025-12-13T02:56:30.670292,63,396.13,success,200,0,0.984,1957.78
2025-12-13T02:56:29.706312,60,591.2,success,200,1,0.355,1992.22
2025-12-13T02:56:29.710818,61,591.68,success,200,1,0.635,1947.94
2025-12-13T02:56:31.525092,67,394.18,success,200,0,0.213,1946.9
2025-12-13T02:56:31.638378,69,383.89,success,200,0,0.562,1897.65
2025-12-13T02:56:30.669485,62,589.68,success,200,1,0.694,1978.73
2025-12-13T02:56:32.663130,73,482.49,success,200,0,0.266,2387.62
2025-12-13T02:56:32.540876,71,507.5,success,200,1,0.263,2515.18
2025-12-13T02:56:32.670226,74,482.53,success,200,0,0.745,2393.18
2025-12-13T02:56:32.540178,70,517.42,success,200,1,0.144,2563.22
2025-12-13T02:56:32.653592,72,495.17,success,200,0,0.258,2455.18
2025-12-13T02:56:30.670973,64,902.83,success,200,1,0.054,2516.32
2025-12-13T02:56:33.559386,76,504.07,success,200,1,0.272,2490.19
2025-12-13T02:56:33.497819,75,516.3,success,200,1,0.09,2530.66
2025-12-13T02:56:31.598607,68,906.88,success,200,1,0.203,2514.11
2025-12-13T02:56:33.619025,77,506.49,success,200,1,0.769,2513.8
2025-12-13T02:56:35.084240,80,329.3,success,200,0,0.35,1625.8
2025-12-13T02:56:35.077093,78,331.24,success,200,0,0.037,1545.39
2025-12-13T02:56:35.185960,83,313.23,success,200,0,0.657,1543.95
2025-12-13T02:56:35.128343,81,337.11,success,200,0,0.94,1665.55
2025-12-13T02:56:35.079082,79,538.61,success,200,1,0.232,1719.62
2025-12-13T02:56:35.130031,82,529.31,success,200,1,0.479,1643.07
2025-12-13T02:56:36.151959,87,328.28,success,200,0,0.8,1621.12
